,ticker
0,WISH
1,ZIM
2,PLTR
3,PLTR
4,SOFI
5,BARK
6,OSTK
7,ATHM
8,BODY
9,ZIM
10,XELA
11,BODY
12,WISH
13,POWW
14,BODY
15,KO
16,SOFI
17,MU
18,SOFI
19,BB
20,WISH
21,AMD
22,SOFI
23,POWW
24,CLNE
25,FUN
26,ANY
27,COIN
28,FUN
29,POWW
30,WISH
31,CARV
32,WISH
33,SOS
34,XELA
35,SOS
36,WISH
37,WISH
38,CPNG
39,TBLT
40,INDI
41,FTI
42,FTI
43,CPNG
44,ORPH
45,PLAY
46,F
47,WISH
48,CLF
49,WISH
50,UWMC
51,CLF
52,SOFI
53,XELA
54,SOFI
55,MRIN
56,SOFI
57,CLF
58,SOFI
59,WISH
60,WISH
61,WISH
62,SENS
63,AMC
64,POWW
65,WISH
66,PBTS
67,SOFI
68,MU
69,BARK
70,CIOX
71,WISH
72,FTI
73,FTI
74,CIOX
75,MU
76,CLOV
77,WISH
78,WISH
79,CLOV
80,CLOV
81,AMC
82,MU
83,POWW
84,SOFI
85,WISH
86,XELA
87,XELA
88,WKHS
89,PLTR
90,XELA
91,CLOV
92,WKHS
93,SOFI
94,HOL
95,SOFI
96,SOFI
97,BODY
98,TACO
99,GEO
100,SOFI
101,SOFI
102,PHUN
103,PHUN
104,GEO
105,BODY
106,PBYA
107,HOL
108,SOFI
109,BODY
110,HGEN
111,BBW
112,ORPH
113,WISH
114,WISH
115,BODY
116,BODY
117,WISH
118,CARV
119,WISH
120,MRIN
121,WISH
122,PLAY
123,WISH
124,WISH
125,WISH
126,WKHS
127,SOFI
128,IDEX
129,IDEX
130,AMD
131,SOFI
132,SOFI
133,AMD
134,MRIN
135,CLOV
136,RTP
137,SKLZ
138,CLF
139,MRIN
140,WISH
141,WISH
142,WISH
143,SPCE
144,NTLA
145,SOFI
146,MRIN
147,SOFI
148,WISH
149,DIS
150,NFLX
151,WISH
152,SOFI
153,WISH
154,GME
155,AMC
156,MMAT
157,SOS
158,CLOV
159,UPC
160,SOFI
161,COUP
162,BODY
163,TELL
164,BSQR
165,SGBX
166,SOS
167,CLNE
168,PLTR
169,GM
170,MSFT
171,CLOV
172,STLD
173,X
174,NUE
175,CLF
176,SOFI
177,SOFI
178,UPST
179,HOL
180,CLNE
181,SOFI
182,WISH
183,SOFI
184,TSP
185,CLNE
186,X
187,CLF
188,PTON
189,DM
190,LSPD
191,WISH
192,WISH
193,WISH
194,LSPD
195,CLNE
196,TELL
197,TELL
198,WISH
199,CARR
200,CLOV
201,WISH
202,SOFI
203,SENS
204,GME
205,TSP
206,TSP
207,PHUN
208,TSLA
209,CLOV
210,BB
211,BB
212,CLOV
213,DDL
214,HUYA
215,AMC
216,HUYA
217,DOYU
218,BODY
219,SPCE
220,BODY
221,SPCE
222,CURI
223,ET
224,WISH
225,GSAT
226,MSFT
227,WISH
228,WISH
229,BBIG
230,TEVA
231,CLOV
232,CLOV
233,GSAT
234,PLAY
235,SOFI
236,ASO
237,TEVA
238,WISH
239,NIOB
240,GROM
241,WISH
242,CLOV
243,TEVA
244,SOS
245,CLF
246,SOS
247,CPNG
248,WISH
249,MSTR
250,SOS
251,CLOV
252,SOFI
253,BARK
254,MSTR
255,SPCE
256,OSW
257,CLOV
258,WISH
259,OSW
260,MRIN
261,SOFI
262,SOS
263,BODY
264,VRT
265,SOS
266,BODY
267,WISH
268,SOS
269,NIO
270,MRIN
271,CVM
272,VBIV
273,SNR
274,SNR
275,NRZ
276,CERE
277,BRQS
278,SOFI
279,AAL
280,SOFI
281,SOFI
282,DUOL
283,SOFI
284,SOFI
285,WISH
286,SOFI
287,WISH
288,SOFI
289,WISH
290,WISH
291,PATH
292,BODY
293,HOL
294,AMD
295,PSFE
296,IDEX
297,SOFI
298,F
299,AMC
300,PHUN
301,JKS
302,VUZI
